Alveolar_retention_five_mg,Alveolar_retention_h_mg,Alveolar_retention_w_mg,Alveolar_retention_y_mg,Alveolar_surface_cm2,Clearance,Deposited_per_area_five_mg/cm2,Deposited_per_area_h_mg/cm2,Deposited_per_area_w_mg/cm2,Deposited_per_area_y_mg/cm2,Exposure,Exposure_time_d,Exposure_time_h,Exposure_time_w,Lung_Model,Substance,agg_diameter_nm,density_g/cm2,pp_diameter_nm,sex
,3.2889999999999997,604.7,111.7,792000.0,Yes,4.15e-06,,0.00076351,0.000141035,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Amorphous SiO2,94.5,0.369048182,13.0,man
0.9620000000000001,,,,792000.0,Yes,,1.21e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,275.0,1.032079053,42.0,man
,1.5859999999999999,291.6,53.8,792000.0,Yes,2e-06,,0.000368182,6.790000000000001e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,275.0,1.032079053,42.0,man
0.992,,,,792000.0,Yes,,1.25e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,253.0,0.9198363820000001,34.0,man
,1.636,300.7,55.5,792000.0,Yes,2.07e-06,,0.00037967199999999995,7.01e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,253.0,0.9198363820000001,34.0,man
3.193,,,,792000.0,Yes,,4.03e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,34.0,5.6,34.0,man
,5.265,968.0,178.7,792000.0,Yes,6.65e-06,,0.001222222,0.00022563099999999998,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,34.0,5.6,34.0,man
1.131,,,,792000.0,Yes,,1.43e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Ag,211.1,1.3080746559999998,25.6,man
,1.8659999999999999,343.0,63.3,792000.0,Yes,2.36e-06,,0.000433081,7.99e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Ag,211.1,1.3080746559999998,25.6,man
3.153,,,,792000.0,Yes,,3.98e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Ag,25.6,8.34,25.6,man
,5.199,955.7,176.5,792000.0,Yes,6.56e-06,,0.0012066919999999999,0.000222854,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Ag,25.6,8.34,25.6,man
0.2836,,,,792000.0,Yes,,3.5799999999999995e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,Ag,211.1,1.3080746559999998,25.6,man
0.7902,,,,792000.0,Yes,,9.98e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,Ag,25.6,8.34,25.6,man
1.411,,,,792000.0,Yes,,1.78e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Al2O3,150.9,1.29788882,28.2,man
,2.326,427.7,79.0,792000.0,Yes,2.94e-06,,0.000540025,9.97e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Al2O3,150.9,1.29788882,28.2,man
3.198,,,,792000.0,Yes,,4.04e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Al2O3,28.2,3.59,28.2,man
,5.273,969.4,179.0,792000.0,Yes,6.66e-06,,0.00122399,0.00022601,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Al2O3,28.2,3.59,28.2,man
0.3536,,,,792000.0,Yes,,4.46e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,Al2O3,150.9,1.29788882,28.2,man
0.8014,,,,792000.0,Yes,,1.01e-06,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,Al2O3,28.2,3.59,28.2,man
1.061,,,,792000.0,Yes,,1.34e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,CeO2,219.3,0.424117875,10.5,man
,1.75,321.8,59.4,792000.0,Yes,2.21e-06,,0.00040631300000000005,7.5e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,CeO2,219.3,0.424117875,10.5,man
1.475,,,,792000.0,Yes,,1.86e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,CeO2,10.5,7.2,10.5,man
,2.431,447.0,82.5,792000.0,Yes,3.07e-06,,0.000564394,0.00010416700000000001,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,CeO2,10.5,7.2,10.5,man
0.266,,,,792000.0,Yes,,3.36e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,CeO2,219.3,0.424117875,10.5,man
0.3695,,,,792000.0,Yes,,4.6700000000000004e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,CeO2,10.5,7.2,10.5,man
0.8599,,,,792000.0,Yes,,1.09e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,CeO2,336.3,0.88825126,34.8,man
,1.4180000000000001,260.7,48.1,792000.0,Yes,1.79e-06,,0.00032916699999999995,6.07e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,CeO2,336.3,0.88825126,34.8,man
3.1860000000000004,,,,792000.0,Yes,,4.02e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,CeO2,34.8,7.2,34.8,man
,5.254,965.8,178.3,792000.0,Yes,6.63e-06,,0.0012194439999999999,0.00022512599999999997,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,CeO2,34.8,7.2,34.8,man
0.2155,,,,792000.0,Yes,,2.72e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,CeO2,336.3,0.88825126,34.8,man
0.7985,,,,792000.0,Yes,,1.01e-06,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,CeO2,34.8,7.2,34.8,man
0.7836,,,,792000.0,Yes,,9.89e-07,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,CuO,341.9,0.259156808,50.2,man
,1.2919999999999998,237.5,43.9,792000.0,Yes,1.63e-06,,0.000299874,5.539999999999999e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,CuO,341.9,0.259156808,50.2,man
2.886,,,,792000.0,Yes,,3.64e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,CuO,50.2,6.153,50.2,man
,4.7589999999999995,874.9,161.5,792000.0,Yes,6.01e-06,,0.001104672,0.00020391400000000003,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,CuO,50.2,6.153,50.2,man
0.1964,,,,792000.0,Yes,,2.48e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,CuO,341.9,0.259156808,50.2,man
0.7233,,,,792000.0,Yes,,9.13e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,CuO,50.2,6.153,50.2,man
1.204,,,,792000.0,Yes,,1.52e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Fe2O3,181.5,0.267104218,9.9,man
,1.985,364.9,67.4,792000.0,Yes,2.51e-06,,0.000460732,8.51e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Fe2O3,181.5,0.267104218,9.9,man
1.327,,,,792000.0,Yes,,1.68e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Fe2O3,9.9,5.24,9.9,man
,2.187,402.1,74.3,792000.0,Yes,2.76e-06,,0.000507702,9.379999999999999e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Fe2O3,9.9,5.24,9.9,man
0.3017,,,,792000.0,Yes,,3.8100000000000004e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,Fe2O3,181.5,0.267104218,9.9,man
0.3325,,,,792000.0,Yes,,4.2e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,Fe2O3,9.9,5.24,9.9,man
1.857,,,,792000.0,Yes,,2.34e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Fe2O3,2408.9,0.611515037,108.9,man
,3.062,563.0,104.0,792000.0,Yes,3.87e-06,,0.000710859,0.00013131299999999998,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Fe2O3,2408.9,0.611515037,108.9,man
1.828,,,,792000.0,Yes,,2.31e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Fe2O3,108.9,5.24,108.9,man
,3.014,554.2,102.3,792000.0,Yes,3.81e-06,,0.000699747,0.00012916700000000002,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Fe2O3,108.9,5.24,108.9,man
0.4655,,,,792000.0,Yes,,5.88e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,Fe2O3,2408.9,0.611515037,108.9,man
0.4582,,,,792000.0,Yes,,5.79e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,Fe2O3,108.9,5.24,108.9,man
3.082,,,,792000.0,Yes,,3.89e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,MgO,40.9,0.16897257699999998,23.8,man
,5.082,934.3,172.5,792000.0,Yes,6.42e-06,,0.0011796719999999999,0.000217803,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,MgO,40.9,0.16897257699999998,23.8,man
3.097,,,,792000.0,Yes,,3.91e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,MgO,23.8,3.14,23.8,man
,5.107,938.9,173.4,792000.0,Yes,6.45e-06,,0.00118548,0.00021893900000000003,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,MgO,23.8,3.14,23.8,man
0.7724,,,,792000.0,Yes,,9.75e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,MgO,40.9,0.16897257699999998,23.8,man
0.7763,,,,792000.0,Yes,,9.8e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,MgO,23.8,3.14,23.8,man
1.645,,,,792000.0,Yes,,2.08e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Amorphous SiO2,120.0,0.23043039699999998,15.0,man
,2.713,498.7,92.1,792000.0,Yes,3.43e-06,,0.000629672,0.000116288,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Amorphous SiO2,120.0,0.23043039699999998,15.0,man
2.352,,,,792000.0,Yes,,2.97e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Amorphous SiO2,15.0,2.2,15.0,man
,3.877,712.8,131.6,792000.0,Yes,4.9e-06,,0.0009,0.000166162,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Amorphous SiO2,15.0,2.2,15.0,man
0.4123,,,,792000.0,Yes,,5.21e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,Amorphous SiO2,120.0,0.23043039699999998,15.0,man
0.5893,,,,792000.0,Yes,,7.440000000000001e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,Amorphous SiO2,15.0,2.2,15.0,man
0.7844,,,,792000.0,Yes,,9.9e-07,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,TiO2,389.7,0.6845927209999999,113.4,man
,1.2930000000000001,237.8,43.9,792000.0,Yes,1.63e-06,,0.000300253,5.539999999999999e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,TiO2,389.7,0.6845927209999999,113.4,man
1.7630000000000001,,,,792000.0,Yes,,2.23e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,TiO2,113.4,3.78,113.4,man
,2.908,534.5,98.7,792000.0,Yes,3.67e-06,,0.0006748739999999999,0.000124621,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,TiO2,113.4,3.78,113.4,man
0.1966,,,,792000.0,Yes,,2.48e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,TiO2,389.7,0.6845927209999999,113.4,man
0.4419,,,,792000.0,Yes,,5.58e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,TiO2,113.4,3.78,113.4,man
0.8281,,,,792000.0,Yes,,1.05e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,TiO2,342.3,0.6590160270000001,28.8,man
,1.365,251.0,46.3,792000.0,Yes,1.72e-06,,0.00031691900000000003,5.85e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,TiO2,342.3,0.6590160270000001,28.8,man
3.2030000000000003,,,,792000.0,Yes,,4.04e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,TiO2,28.8,4.23,28.8,man
,5.282,971.1,179.3,792000.0,Yes,6.67e-06,,0.001226136,0.00022638900000000002,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,TiO2,28.8,4.23,28.8,man
0.2075,,,,792000.0,Yes,,2.62e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,TiO2,342.3,0.6590160270000001,28.8,man
0.8028,,,,792000.0,Yes,,1.01e-06,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,TiO2,28.8,4.23,28.8,man
2.696,,,,792000.0,Yes,,3.4e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,57.8,0.660833188,45.7,man
,4.445,817.1,150.9,792000.0,Yes,5.61e-06,,0.001031692,0.00019053,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,57.8,0.660833188,45.7,man
2.989,,,,792000.0,Yes,,3.77e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,45.7,5.6,45.7,man
,4.928,905.9,167.3,792000.0,Yes,6.22e-06,,0.001143813,0.000211237,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,45.7,5.6,45.7,man
0.6755,,,,792000.0,Yes,,8.529999999999999e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,ZnO,57.8,0.660833188,45.7,man
0.7490000000000001,,,,792000.0,Yes,,9.459999999999999e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,ZnO,45.7,5.6,45.7,man
0.0874,,,,792000.0,Yes,,1.1e-07,,,constant,1.0,2.0,1.0,Yeh/Schum Symmetric,Amorphous SiO2,220.0,0.160511218,12.0,man
,1.724,317.0,58.5,792000.0,Yes,2.18e-06,,0.00040025300000000005,7.390000000000001e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Amorphous SiO2,220.0,0.160511218,12.0,man
0.1517,,,,792000.0,Yes,,1.92e-07,,,constant,1.0,2.0,1.0,Yeh/Schum Symmetric,Amorphous SiO2,12.0,2.2,12.0,man
0.1748,,,,792000.0,Yes,,2.21e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,Amorphous SiO2,220.0,0.160511218,12.0,man
0.3033,,,,792000.0,Yes,,3.83e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,Amorphous SiO2,12.0,2.2,12.0,man
0.2621,,,,792000.0,Yes,,3.3100000000000004e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,Amorphous SiO2,220.0,0.160511218,12.0,man
0.636,,,,792000.0,Yes,,8.03e-07,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,1330.0,0.217467219,36.0,man
,1.0490000000000002,192.8,35.6,792000.0,Yes,1.32e-06,,0.00024343400000000003,4.49e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,1330.0,0.217467219,36.0,man
3.1710000000000003,,,,792000.0,Yes,,4e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,36.0,5.6,36.0,man
,5.229,961.3,177.5,792000.0,Yes,6.6e-06,,0.001213763,0.00022411599999999998,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,36.0,5.6,36.0,man
0.0266,,,,792000.0,Yes,,3.3599999999999996e-08,,,constant,1.0,1.0,1.0,Yeh/Schum Symmetric,ZnO,1330.0,0.217467219,36.0,man
0.1326,,,,792000.0,Yes,,1.67e-07,,,constant,1.0,1.0,1.0,Yeh/Schum Symmetric,ZnO,36.0,5.6,36.0,man
0.0532,,,,792000.0,Yes,,6.719999999999999e-08,,,constant,1.0,2.0,1.0,Yeh/Schum Symmetric,ZnO,1330.0,0.217467219,36.0,man
0.2651,,,,792000.0,Yes,,3.35e-07,,,constant,1.0,2.0,1.0,Yeh/Schum Symmetric,ZnO,36.0,5.6,36.0,man
0.1063,,,,792000.0,Yes,,1.34e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,1330.0,0.217467219,36.0,man
0.53,,,,792000.0,Yes,,6.690000000000001e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,36.0,5.6,36.0,man
0.1594,,,,792000.0,Yes,,2.01e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,ZnO,1330.0,0.217467219,36.0,man
0.7948,,,,792000.0,Yes,,1e-06,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,ZnO,36.0,5.6,36.0,man
2.342,,,,792000.0,Yes,,2.96e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,75.0,2.8927116230000003,36.0,man
,3.862,710.0,131.1,792000.0,Yes,4.88e-06,,0.000896465,0.00016553,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,75.0,2.8927116230000003,36.0,man
0.0979,,,,792000.0,Yes,,1.24e-07,,,constant,1.0,1.0,1.0,Yeh/Schum Symmetric,ZnO,75.0,2.8927116230000003,36.0,man
0.1958,,,,792000.0,Yes,,2.47e-07,,,constant,1.0,2.0,1.0,Yeh/Schum Symmetric,ZnO,75.0,2.8927116230000003,36.0,man
0.3915,,,,792000.0,Yes,,4.94e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,75.0,2.8927116230000003,36.0,man
0.5870000000000001,,,,792000.0,Yes,,7.41e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,ZnO,75.0,2.8927116230000003,36.0,man
0.9134,,,,792000.0,Yes,,1.15e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,1320.0,0.449213167,80.0,man
,1.506,276.9,51.1,792000.0,Yes,1.9e-06,,0.000349621,6.45e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,1320.0,0.449213167,80.0,man
2.271,,,,792000.0,Yes,,2.87e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,80.0,5.6,80.0,man
,3.7439999999999998,688.3,127.1,792000.0,Yes,4.73e-06,,0.000869066,0.00016048,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,80.0,5.6,80.0,man
0.0382,,,,792000.0,Yes,,4.82e-08,,,constant,1.0,1.0,1.0,Yeh/Schum Symmetric,ZnO,1320.0,0.449213167,80.0,man
0.0949,,,,792000.0,Yes,,1.2e-07,,,constant,1.0,1.0,1.0,Yeh/Schum Symmetric,ZnO,80.0,5.6,80.0,man
0.0763,,,,792000.0,Yes,,9.630000000000001e-08,,,constant,1.0,2.0,1.0,Yeh/Schum Symmetric,ZnO,1320.0,0.449213167,80.0,man
0.1898,,,,792000.0,Yes,,2.4e-07,,,constant,1.0,2.0,1.0,Yeh/Schum Symmetric,ZnO,80.0,5.6,80.0,man
0.1526,,,,792000.0,Yes,,1.93e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,1320.0,0.449213167,80.0,man
0.3795,,,,792000.0,Yes,,4.79e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,80.0,5.6,80.0,man
0.2289,,,,792000.0,Yes,,2.89e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,ZnO,1320.0,0.449213167,80.0,man
0.569,,,,792000.0,Yes,,7.179999999999999e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,ZnO,80.0,5.6,80.0,man
2.109,,,,792000.0,Yes,,2.66e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,90.0,5.036754195,80.0,man
,3.478,639.3,118.1,792000.0,Yes,4.39e-06,,0.000807197,0.000149116,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,90.0,5.036754195,80.0,man
0.0882,,,,792000.0,Yes,,1.11e-07,,,constant,1.0,1.0,1.0,Yeh/Schum Symmetric,ZnO,90.0,5.036754195,80.0,man
0.1763,,,,792000.0,Yes,,2.23e-07,,,constant,1.0,2.0,1.0,Yeh/Schum Symmetric,ZnO,90.0,5.036754195,80.0,man
0.3525,,,,792000.0,Yes,,4.45e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,90.0,5.036754195,80.0,man
0.5286,,,,792000.0,Yes,,6.67e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,ZnO,90.0,5.036754195,80.0,man
1.419,,,,792000.0,Yes,,1.79e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,1290.0,1.046126693,200.0,man
,2.34,430.2,79.4,792000.0,Yes,2.95e-06,,0.000543182,0.00010025299999999999,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,1290.0,1.046126693,200.0,man
1.33,,,,792000.0,Yes,,1.68e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,200.0,5.6,200.0,man
,2.1919999999999997,403.0,74.4,792000.0,Yes,2.77e-06,,0.0005088380000000001,9.39e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,200.0,5.6,200.0,man
0.0593,,,,792000.0,Yes,,7.49e-08,,,constant,1.0,1.0,1.0,Yeh/Schum Symmetric,ZnO,1290.0,1.046126693,200.0,man
0.0556,,,,792000.0,Yes,,7.019999999999999e-08,,,constant,1.0,1.0,1.0,Yeh/Schum Symmetric,ZnO,200.0,5.6,200.0,man
0.1186,,,,792000.0,Yes,,1.5e-07,,,constant,1.0,2.0,1.0,Yeh/Schum Symmetric,ZnO,1290.0,1.046126693,200.0,man
0.1111,,,,792000.0,Yes,,1.4e-07,,,constant,1.0,2.0,1.0,Yeh/Schum Symmetric,ZnO,200.0,5.6,200.0,man
0.2372,,,,792000.0,Yes,,2.9899999999999996e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,1290.0,1.046126693,200.0,man
0.2222,,,,792000.0,Yes,,2.81e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,200.0,5.6,200.0,man
0.3556,,,,792000.0,Yes,,4.49e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,ZnO,1290.0,1.046126693,200.0,man
0.3332,,,,792000.0,Yes,,4.21e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,ZnO,200.0,5.6,200.0,man
1.0859999999999999,,,,792000.0,Yes,,1.37e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,ZnO,460.0,2.6462628169999998,200.0,man
,1.791,329.2,60.8,792000.0,Yes,2.26e-06,,0.000415657,7.68e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,ZnO,460.0,2.6462628169999998,200.0,man
0.0454,,,,792000.0,Yes,,5.7300000000000004e-08,,,constant,1.0,1.0,1.0,Yeh/Schum Symmetric,ZnO,460.0,2.6462628169999998,200.0,man
0.0908,,,,792000.0,Yes,,1.15e-07,,,constant,1.0,2.0,1.0,Yeh/Schum Symmetric,ZnO,460.0,2.6462628169999998,200.0,man
0.1815,,,,792000.0,Yes,,2.2899999999999997e-07,,,constant,1.0,4.0,1.0,Yeh/Schum Symmetric,ZnO,460.0,2.6462628169999998,200.0,man
0.2722,,,,792000.0,Yes,,3.44e-07,,,constant,1.0,6.0,1.0,Yeh/Schum Symmetric,ZnO,460.0,2.6462628169999998,200.0,man
1.047,,,,792000.0,Yes,,1.32e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,TiO2,229.0,0.760010266,34.0,man
,1.7269999999999999,317.5,58.6,792000.0,Yes,2.18e-06,,0.000400884,7.4e-05,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,TiO2,229.0,0.760010266,34.0,man
3.193,,,,792000.0,Yes,,4.03e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,TiO2,34.0,4.23,34.0,man
,5.263999999999999,967.8,178.7,792000.0,Yes,6.65e-06,,0.00122197,0.00022563099999999998,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,TiO2,34.0,4.23,34.0,man
1.751,,,,792000.0,Yes,,2.21e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,TiO2,111.0,0.9882051820000001,25.0,man
,2.887,530.8,98.0,792000.0,Yes,3.65e-06,,0.000670202,0.000123737,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,TiO2,111.0,0.9882051820000001,25.0,man
3.137,,,,792000.0,Yes,,3.96e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,TiO2,25.0,3.78,25.0,man
,5.172000000000001,950.9,175.6,792000.0,Yes,6.53e-06,,0.001200631,0.00022171700000000002,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,TiO2,25.0,3.78,25.0,man
3.142,,,,792000.0,Yes,,3.97e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Crystalline SiO2,37.8,1.561351265,21.0,man
,5.181,952.5,175.9,792000.0,Yes,6.54e-06,,0.001202652,0.000222096,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Crystalline SiO2,37.8,1.561351265,21.0,man
2.9619999999999997,,,,792000.0,Yes,,3.74e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Crystalline SiO2,21.0,2.65,21.0,man
,4.8839999999999995,897.8,165.8,792000.0,Yes,6.17e-06,,0.001133586,0.000209343,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Crystalline SiO2,21.0,2.65,21.0,man
9.366,,,,792000.0,Yes,,1.18e-05,,,constant,1.0,72.0,1.0,Yeh/Schum Symmetric,Crystalline SiO2,37.8,1.561351265,21.0,man
8.828,,,,792000.0,Yes,,1.11e-05,,,constant,1.0,72.0,1.0,Yeh/Schum Symmetric,Crystalline SiO2,21.0,2.65,21.0,man
2.4330000000000003,,,,792000.0,Yes,,3.07e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Crystalline SiO2,70.12,2.303160919,60.0,man
,4.012,737.6,136.2,792000.0,Yes,5.07e-06,,0.000931313,0.00017197,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Crystalline SiO2,70.12,2.303160919,60.0,man
2.653,,,,792000.0,Yes,,3.35e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Crystalline SiO2,60.0,2.65,60.0,man
,4.374,804.1,148.5,792000.0,Yes,5.52e-06,,0.001015278,0.0001875,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Crystalline SiO2,60.0,2.65,60.0,man
7.252999999999999,,,,792000.0,Yes,,9.16e-06,,,constant,1.0,72.0,1.0,Yeh/Schum Symmetric,Crystalline SiO2,70.12,2.303160919,60.0,man
7.907,,,,792000.0,Yes,,9.98e-06,,,constant,1.0,72.0,1.0,Yeh/Schum Symmetric,Crystalline SiO2,60.0,2.65,60.0,man
1.8330000000000002,,,,792000.0,Yes,,2.31e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Crystalline SiO2,105.5,2.525333037,100.0,man
,3.022,555.5,102.6,792000.0,Yes,3.82e-06,,0.000701389,0.000129545,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Crystalline SiO2,105.5,2.525333037,100.0,man
1.946,,,,792000.0,Yes,,2.46e-06,,,constant,1.0,24.0,1.0,Yeh/Schum Symmetric,Crystalline SiO2,100.0,2.65,100.0,man
,3.208,589.8,108.9,792000.0,Yes,4.05e-06,,0.000744697,0.0001375,constant,5.0,8.0,1820.0,Yeh/Schum Symmetric,Crystalline SiO2,100.0,2.65,100.0,man
