ID,Substance,Primary_particle_diameter_nm,Agglomerate_diameter_nm,Initial concentration_mg/cm3,End_time_h,Stable_time_h,Fraction_deposited_end,Mass_per_Area_end_mg/cm2,Mass+Dissolved_per_Area_end_mg/cm2,SA_per_Area_end_cm2/cm2,N_per_Area_end_n/cm2,Fraction_deposited_eq,Mass_per_Area_eq_mg/cm2,SA_per_Area_eq_cm2/cm2,N_per_Area_eq_n/cm2,SSA_m2/g,Complete_deposition_in_lung,Agglomerate_diameter_air_nm,Agglomerate_density_air_g/cm3,Sticky_bottom,SA_per_area_end_pp_cm2/cm2,sex,air_particle_type,exposure_concentration_air_end_mg/m3,exposure_concentration_air_eq_mg/m3,exposure_concentration_air_five_d_mg/m3,exposure_concentration_air_year_mg/m3,exposure_concentration_air_worklife_mg/m3
1,TiO2,17,900.0,0.256,24,8.5,0.9093261484998147,0.13967249640957155,0.13967249640957155,2.2170237525328815,585780422.5080756,0.9093227715217992,0.13967197770574835,2.217015519138863,585778247.0866253,84.03361344537817,False,900.0,0.6246689106294632,True,117.37184572232906,female,agg,124707.58607997459,139374.35538435465,75498.64670787651,2224.084337732031,410.2837784371236
2,Amorphous SiO2,12,220.0,0.01,6,not defined,0.0044837035875991945,1.3451110762797584e-05,1.3451110762797584e-05,0.0016674930697682957,15030938.386718802,,,,,200.0,False,12.0,2.2,False,0.026902221525595165,male,pp,23.433990875953977,not defined,3.5584949107930117,0.10485497503798308,0.01936607022579057
3,Amorphous SiO2,12,220.0,0.01,6,not defined,0.0044837035875991945,1.3451110762797584e-05,1.3451110762797584e-05,0.0016674930697682957,15030938.386718802,,,,,200.0,True,12.0,2.2,False,0.026902221525595165,male,pp,3.2152995503232114,not defined,0.4822949325484817,0.009274902549009265,0.000264997215685979
4,Amorphous SiO2,12,220.0,0.01,6,not defined,0.0044837035875991945,1.3451110762797584e-05,1.3451110762797584e-05,0.0016674930697682957,15030938.386718802,,,,,200.0,False,900.0,1.0,False,0.026902221525595165,male,aero,41.67949813824603,not defined,6.33369781458721,0.18657232441568627,0.03445433287236639
